frame,time,x,y,z,vy,groundY,signedDist,zoneType,phase,dGroundY,zoneFlip
67,0.2791,31.491,16.405,29.135,18.068,10.666,5.740,Fairway,airborne,-0.003,0
68,0.2833,31.376,16.481,29.090,18.015,10.663,5.817,Fairway,airborne,-0.003,0
69,0.2874,31.261,16.556,29.046,17.962,10.661,5.895,Fairway,airborne,-0.003,0
70,0.2916,31.147,16.630,29.001,17.909,10.658,5.972,Fairway,airborne,-0.003,0
71,0.2958,31.032,16.705,28.956,17.856,10.655,6.049,Fairway,airborne,-0.003,0
72,0.2999,30.917,16.779,28.911,17.804,10.653,6.126,Fairway,airborne,-0.003,0
73,0.3041,30.803,16.853,28.866,17.751,10.650,6.203,Fairway,airborne,-0.003,0
74,0.3083,30.688,16.927,28.821,17.698,10.648,6.279,Fairway,airborne,-0.003,0
75,0.3124,30.574,17.000,28.777,17.646,10.645,6.355,Fairway,airborne,-0.003,0
76,0.3166,30.460,17.074,28.732,17.593,10.642,6.431,Fairway,airborne,-0.003,0
77,0.3208,30.346,17.147,28.687,17.541,10.640,6.507,Fairway,airborne,-0.003,0
78,0.3249,30.232,17.220,28.643,17.488,10.637,6.583,Fairway,airborne,-0.003,0
79,0.3291,30.118,17.293,28.598,17.436,10.634,6.659,Fairway,airborne,-0.003,0
80,0.3333,30.004,17.365,28.554,17.384,10.631,6.734,Fairway,airborne,-0.003,0
81,0.3374,29.890,17.438,28.509,17.332,10.629,6.809,Fairway,airborne,-0.003,0
82,0.3416,29.776,17.510,28.465,17.279,10.626,6.883,Fairway,airborne,-0.003,0
83,0.3457,29.662,17.581,28.420,17.227,10.623,6.958,Fairway,airborne,-0.003,0
84,0.3499,29.549,17.653,28.376,17.175,10.621,7.032,Fairway,airborne,-0.003,0
85,0.3541,29.435,17.725,28.331,17.123,10.618,7.106,Fairway,airborne,-0.003,0
86,0.3582,29.321,17.796,28.287,17.072,10.616,7.180,Fairway,airborne,-0.003,0
87,0.3624,29.208,17.867,28.242,17.020,10.613,7.254,Fairway,airborne,-0.003,0
88,0.3666,29.095,17.938,28.198,16.968,10.610,7.327,Fairway,airborne,-0.003,0
89,0.3707,28.981,18.008,28.154,16.916,10.608,7.400,Fairway,airborne,-0.003,0
90,0.3749,28.868,18.078,28.109,16.865,10.605,7.473,Fairway,airborne,-0.003,0
91,0.3791,28.755,18.149,28.065,16.813,10.602,7.546,Fairway,airborne,-0.003,0
92,0.3832,28.642,18.219,28.021,16.762,10.599,7.619,Fairway,airborne,-0.003,0
93,0.3874,28.529,18.288,27.977,16.710,10.596,7.692,Fairway,airborne,-0.003,0
94,0.3916,28.416,18.358,27.933,16.659,10.594,7.764,Fairway,airborne,-0.003,0
95,0.3957,28.303,18.427,27.888,16.607,10.591,7.836,Fairway,airborne,-0.003,0
96,0.3999,28.190,18.496,27.844,16.556,10.588,7.908,Fairway,airborne,-0.003,0
97,0.4041,28.078,18.565,27.800,16.505,10.586,7.979,Fairway,airborne,-0.003,0
98,0.4082,27.965,18.634,27.756,16.454,10.583,8.050,Fairway,airborne,-0.003,0
99,0.4124,27.852,18.702,27.712,16.402,10.581,8.121,Fairway,airborne,-0.002,0
100,0.4166,27.740,18.770,27.668,16.351,10.578,8.192,Fairway,airborne,-0.002,0
101,0.4207,27.627,18.838,27.624,16.300,10.576,8.262,Fairway,airborne,-0.002,0
102,0.4249,27.515,18.906,27.580,16.249,10.573,8.332,Fairway,airborne,-0.002,0
103,0.4291,27.403,18.974,27.536,16.199,10.571,8.403,Fairway,airborne,-0.003,0
104,0.4332,27.291,19.041,27.492,16.148,10.568,8.473,Fairway,airborne,-0.003,0
105,0.4374,27.178,19.108,27.449,16.097,10.566,8.542,Fairway,airborne,-0.003,0
106,0.4416,27.066,19.175,27.405,16.046,10.563,8.612,Fairway,airborne,-0.003,0
107,0.4457,26.954,19.242,27.361,15.996,10.560,8.681,Fairway,airborne,-0.003,0
108,0.4499,26.842,19.308,27.317,15.945,10.558,8.751,Fairway,airborne,-0.003,0
109,0.4541,26.731,19.375,27.273,15.894,10.555,8.820,Fairway,airborne,-0.003,0
110,0.4582,26.619,19.441,27.230,15.844,10.552,8.888,Fairway,airborne,-0.003,0
111,0.4624,26.507,19.507,27.186,15.793,10.549,8.957,Fairway,airborne,-0.003,0
112,0.4666,26.395,19.572,27.142,15.743,10.546,9.026,Fairway,airborne,-0.003,0
113,0.4707,26.284,19.638,27.099,15.693,10.544,9.094,Fairway,airborne,-0.003,0
114,0.4749,26.172,19.703,27.055,15.642,10.541,9.162,Fairway,airborne,-0.003,0
115,0.4790,26.061,19.768,27.011,15.592,10.538,9.230,Fairway,airborne,-0.003,0
116,0.4832,25.949,19.833,26.968,15.542,10.535,9.298,Fairway,airborne,-0.003,0
117,0.4874,25.838,19.897,26.924,15.492,10.533,9.365,Fairway,airborne,-0.003,0
118,0.4915,25.727,19.962,26.881,15.442,10.530,9.432,Fairway,airborne,-0.002,0
119,0.4957,25.615,20.026,26.837,15.392,10.528,9.498,Fairway,airborne,-0.002,0
120,0.4999,25.504,20.090,26.794,15.342,10.525,9.565,Fairway,airborne,-0.002,0
121,0.5040,25.393,20.154,26.750,15.292,10.523,9.631,Fairway,airborne,-0.002,0
122,0.5082,25.282,20.217,26.707,15.242,10.520,9.697,Fairway,airborne,-0.002,0
123,0.5124,25.171,20.281,26.663,15.192,10.518,9.763,Fairway,airborne,-0.003,0
124,0.5165,25.060,20.344,26.620,15.142,10.515,9.829,Fairway,airborne,-0.003,0
125,0.5207,24.949,20.407,26.577,15.093,10.513,9.895,Fairway,airborne,-0.003,0
126,0.5249,24.839,20.470,26.533,15.043,10.510,9.960,Fairway,airborne,-0.003,0
127,0.5290,24.728,20.532,26.490,14.993,10.507,10.025,Fairway,airborne,-0.003,0
128,0.5332,24.617,20.595,26.447,14.944,10.505,10.090,Fairway,airborne,-0.003,0
129,0.5374,24.507,20.657,26.404,14.894,10.502,10.154,Fairway,airborne,-0.003,0
130,0.5415,24.396,20.719,26.360,14.845,10.500,10.219,Fairway,airborne,-0.003,0
131,0.5457,24.286,20.780,26.317,14.795,10.497,10.283,Fairway,airborne,-0.003,0
132,0.5499,24.176,20.842,26.274,14.746,10.494,10.347,Fairway,airborne,-0.003,0
133,0.5540,24.065,20.903,26.231,14.697,10.492,10.411,Fairway,airborne,-0.003,0
134,0.5582,23.955,20.964,26.188,14.628,10.489,10.475,Fairway,airborne,-0.003,0
135,0.5624,23.845,21.025,26.145,14.556,10.487,10.538,Fairway,airborne,-0.003,0
136,0.5665,23.735,21.086,26.102,14.484,10.484,10.602,Fairway,airborne,-0.003,0
137,0.5707,23.626,21.146,26.059,14.412,10.481,10.664,Fairway,airborne,-0.003,0
138,0.5749,23.517,21.206,26.016,14.341,10.479,10.727,Fairway,airborne,-0.003,0
139,0.5790,23.408,21.265,25.974,14.270,10.476,10.789,Fairway,airborne,-0.003,0
140,0.5832,23.299,21.325,25.931,14.199,10.474,10.851,Fairway,airborne,-0.003,0
141,0.5874,23.190,21.384,25.889,14.129,10.471,10.912,Fairway,airborne,-0.002,0
142,0.5915,23.082,21.442,25.846,14.059,10.469,10.973,Fairway,airborne,-0.002,0
143,0.5957,22.974,21.501,25.804,13.989,10.466,11.034,Fairway,airborne,-0.003,0
144,0.5999,22.866,21.559,25.762,13.919,10.464,11.095,Fairway,airborne,-0.003,0
145,0.6040,22.758,21.617,25.720,13.850,10.461,11.155,Fairway,airborne,-0.003,0
146,0.6082,22.651,21.674,25.678,13.781,10.459,11.216,Fairway,airborne,-0.003,0
147,0.6124,22.544,21.731,25.636,13.713,10.456,11.275,Fairway,airborne,-0.003,0
148,0.6165,22.437,21.788,25.594,13.644,10.453,11.335,Fairway,airborne,-0.003,0
149,0.6207,22.330,21.845,25.552,13.576,10.451,11.394,Fairway,airborne,-0.003,0
150,0.6248,22.223,21.901,25.510,13.509,10.448,11.453,Fairway,airborne,-0.002,0
151,0.6290,22.117,21.958,25.469,13.441,10.446,11.512,Fairway,airborne,-0.002,0
152,0.6332,22.011,22.013,25.427,13.374,10.444,11.570,Fairway,airborne,-0.002,0
153,0.6373,21.905,22.069,25.386,13.307,10.441,11.628,Fairway,airborne,-0.002,0
154,0.6415,21.799,22.124,25.344,13.240,10.439,11.685,Fairway,airborne,-0.002,0
155,0.6457,21.694,22.179,25.303,13.174,10.437,11.743,Fairway,airborne,-0.002,0
156,0.6498,21.588,22.234,25.262,13.108,10.434,11.800,Fairway,airborne,-0.003,0
157,0.6540,21.483,22.288,25.221,13.042,10.432,11.857,Fairway,airborne,-0.003,0
158,0.6582,21.378,22.343,25.180,12.976,10.429,11.913,Fairway,airborne,-0.003,0
159,0.6623,21.273,22.397,25.139,12.910,10.427,11.970,Fairway,airborne,-0.003,0
160,0.6665,21.169,22.450,25.098,12.845,10.424,12.026,Fairway,airborne,-0.003,0
161,0.6707,21.065,22.504,25.057,12.780,10.422,12.082,Fairway,airborne,-0.003,0
162,0.6748,20.960,22.557,25.016,12.716,10.419,12.137,Fairway,airborne,-0.002,0
163,0.6790,20.856,22.609,24.976,12.651,10.417,12.193,Fairway,airborne,-0.002,0
164,0.6832,20.753,22.662,24.935,12.587,10.414,12.248,Fairway,airborne,-0.002,0
165,0.6873,20.649,22.714,24.895,12.523,10.412,12.302,Fairway,airborne,-0.002,0
166,0.6915,20.546,22.766,24.854,12.459,10.410,12.357,Fairway,airborne,-0.002,0
167,0.6957,20.443,22.818,24.814,12.396,10.408,12.411,Fairway,airborne,-0.002,0
168,0.6998,20.340,22.870,24.774,12.332,10.405,12.464,Fairway,airborne,-0.002,0
169,0.7040,20.237,22.921,24.733,12.269,10.403,12.518,Fairway,airborne,-0.002,0
170,0.7082,20.134,22.972,24.693,12.206,10.401,12.571,Fairway,airborne,-0.002,0
171,0.7123,20.032,23.023,24.653,12.144,10.399,12.624,Fairway,airborne,-0.002,0
172,0.7165,19.929,23.073,24.613,12.081,10.396,12.676,Fairway,airborne,-0.002,0
173,0.7207,19.827,23.123,24.573,12.019,10.394,12.729,Fairway,airborne,-0.002,0
174,0.7248,19.725,23.173,24.533,11.957,10.392,12.781,Fairway,airborne,-0.002,0
175,0.7290,19.624,23.223,24.494,11.895,10.390,12.833,Fairway,airborne,-0.002,0
176,0.7332,19.522,23.272,24.454,11.833,10.388,12.884,Fairway,airborne,-0.002,0
177,0.7373,19.421,23.321,24.414,11.772,10.385,12.936,Fairway,airborne,-0.002,0
178,0.7415,19.320,23.370,24.375,11.711,10.383,12.987,Fairway,airborne,-0.002,0
179,0.7457,19.219,23.419,24.335,11.650,10.381,13.038,Fairway,airborne,-0.002,0
