frame,time,x,y,z,vy,groundY,signedDist,zoneType,phase,dGroundY,zoneFlip
67,0.2791,32.559,16.619,29.553,18.824,10.690,5.929,Fairway,airborne,-0.002,0
68,0.2833,32.459,16.697,29.514,18.743,10.688,6.009,Fairway,airborne,-0.002,0
69,0.2874,32.360,16.775,29.475,18.663,10.686,6.089,Fairway,airborne,-0.002,0
70,0.2916,32.261,16.853,29.437,18.583,10.683,6.169,Fairway,airborne,-0.002,0
71,0.2958,32.163,16.930,29.398,18.503,10.681,6.249,Fairway,airborne,-0.002,0
72,0.2999,32.064,17.007,29.360,18.424,10.679,6.328,Fairway,airborne,-0.002,0
73,0.3041,31.966,17.083,29.321,18.345,10.676,6.407,Fairway,airborne,-0.002,0
74,0.3083,31.868,17.160,29.283,18.266,10.674,6.485,Fairway,airborne,-0.002,0
75,0.3124,31.770,17.235,29.245,18.188,10.672,6.563,Fairway,airborne,-0.002,0
76,0.3166,31.673,17.311,29.207,18.110,10.670,6.641,Fairway,airborne,-0.002,0
77,0.3208,31.575,17.386,29.168,18.032,10.668,6.719,Fairway,airborne,-0.002,0
78,0.3249,31.478,17.461,29.130,17.955,10.665,6.796,Fairway,airborne,-0.002,0
79,0.3291,31.381,17.536,29.092,17.878,10.663,6.873,Fairway,airborne,-0.002,0
80,0.3333,31.284,17.610,29.054,17.802,10.661,6.949,Fairway,airborne,-0.002,0
81,0.3374,31.187,17.684,29.017,17.726,10.659,7.025,Fairway,airborne,-0.002,0
82,0.3416,31.091,17.758,28.979,17.650,10.657,7.101,Fairway,airborne,-0.002,0
83,0.3457,30.995,17.831,28.941,17.575,10.655,7.177,Fairway,airborne,-0.002,0
84,0.3499,30.899,17.904,28.904,17.500,10.652,7.252,Fairway,airborne,-0.002,0
85,0.3541,30.803,17.977,28.866,17.425,10.650,7.327,Fairway,airborne,-0.002,0
86,0.3582,30.707,18.049,28.829,17.350,10.648,7.401,Fairway,airborne,-0.002,0
87,0.3624,30.611,18.122,28.791,17.276,10.646,7.476,Fairway,airborne,-0.002,0
88,0.3666,30.516,18.193,28.754,17.203,10.644,7.550,Fairway,airborne,-0.002,0
89,0.3707,30.421,18.265,28.717,17.129,10.641,7.623,Fairway,airborne,-0.002,0
90,0.3749,30.326,18.336,28.680,17.056,10.639,7.697,Fairway,airborne,-0.002,0
91,0.3791,30.231,18.407,28.643,16.983,10.637,7.770,Fairway,airborne,-0.002,0
92,0.3832,30.136,18.478,28.606,16.911,10.635,7.843,Fairway,airborne,-0.002,0
93,0.3874,30.042,18.548,28.569,16.838,10.632,7.916,Fairway,airborne,-0.002,0
94,0.3916,29.948,18.618,28.532,16.766,10.630,7.988,Fairway,airborne,-0.002,0
95,0.3957,29.854,18.688,28.495,16.695,10.628,8.060,Fairway,airborne,-0.002,0
96,0.3999,29.760,18.757,28.458,16.623,10.626,8.131,Fairway,airborne,-0.002,0
97,0.4041,29.666,18.826,28.422,16.552,10.624,8.202,Fairway,airborne,-0.002,0
98,0.4082,29.572,18.895,28.385,16.482,10.621,8.273,Fairway,airborne,-0.002,0
99,0.4124,29.479,18.963,28.348,16.411,10.619,8.344,Fairway,airborne,-0.002,0
100,0.4166,29.386,19.032,28.312,16.341,10.617,8.414,Fairway,airborne,-0.002,0
101,0.4207,29.293,19.099,28.276,16.271,10.615,8.485,Fairway,airborne,-0.002,0
102,0.4249,29.200,19.167,28.239,16.201,10.613,8.554,Fairway,airborne,-0.002,0
103,0.4291,29.107,19.234,28.203,16.132,10.611,8.624,Fairway,airborne,-0.002,0
104,0.4332,29.014,19.301,28.167,16.063,10.608,8.693,Fairway,airborne,-0.002,0
105,0.4374,28.922,19.368,28.131,15.994,10.606,8.762,Fairway,airborne,-0.002,0
106,0.4416,28.830,19.435,28.094,15.925,10.604,8.831,Fairway,airborne,-0.002,0
107,0.4457,28.737,19.501,28.058,15.857,10.602,8.899,Fairway,airborne,-0.002,0
108,0.4499,28.645,19.567,28.022,15.789,10.599,8.967,Fairway,airborne,-0.002,0
