frame,worldX,worldZ,preferred,foundPreferred,nHits,hits
26,-241.4415,-72.0000,Green,1,2;Fairway_3|Fairway|10.3475;Green_1|Green|10.4323
27,-241.4415,-72.0000,Green,1,2;Fairway_3|Fairway|10.3475;Green_1|Green|10.4323
27,-241.4209,-72.0000,Green,1,2;Fairway_3|Fairway|10.3469;Green_1|Green|10.4318
28,-241.4209,-72.0000,Green,1,2;Fairway_3|Fairway|10.3469;Green_1|Green|10.4318
28,-241.4003,-72.0000,Green,1,2;Fairway_3|Fairway|10.3463;Green_1|Green|10.4313
29,-241.4003,-72.0000,Green,1,2;Fairway_3|Fairway|10.3463;Green_1|Green|10.4313
29,-241.3798,-72.0000,Green,1,2;Fairway_3|Fairway|10.3458;Green_1|Green|10.4308
30,-241.3798,-72.0000,Green,1,2;Fairway_3|Fairway|10.3458;Green_1|Green|10.4308
30,-241.3593,-72.0000,Green,1,2;Fairway_3|Fairway|10.3451;Green_1|Green|10.4303
31,-241.3593,-72.0000,Green,1,2;Fairway_3|Fairway|10.3451;Green_1|Green|10.4303
31,-241.3387,-72.0000,Green,1,2;Fairway_3|Fairway|10.3445;Green_1|Green|10.4298
32,-241.3387,-72.0000,Green,1,2;Fairway_3|Fairway|10.3445;Green_1|Green|10.4298
32,-241.3182,-72.0000,Green,1,2;Fairway_3|Fairway|10.3439;Green_1|Green|10.4292
33,-241.3182,-72.0000,Green,1,2;Fairway_3|Fairway|10.3439;Green_1|Green|10.4292
33,-241.2977,-72.0000,Green,1,2;Fairway_3|Fairway|10.3433;Green_1|Green|10.4286
34,-241.2977,-72.0000,Green,1,2;Fairway_3|Fairway|10.3433;Green_1|Green|10.4286
34,-241.2772,-72.0000,Green,1,2;Fairway_3|Fairway|10.3427;Green_1|Green|10.4281
35,-241.2772,-72.0000,Green,1,2;Fairway_3|Fairway|10.3427;Green_1|Green|10.4281
35,-241.2567,-72.0000,Green,1,2;Fairway_3|Fairway|10.3422;Green_1|Green|10.4275
36,-241.2567,-72.0000,Green,1,2;Fairway_3|Fairway|10.3422;Green_1|Green|10.4275
36,-241.2362,-72.0000,Green,1,2;Fairway_3|Fairway|10.3416;Green_1|Green|10.4269
37,-241.2362,-72.0000,Green,1,2;Fairway_3|Fairway|10.3416;Green_1|Green|10.4269
37,-241.2157,-72.0000,Green,1,2;Fairway_3|Fairway|10.3411;Green_1|Green|10.4263
38,-241.2157,-72.0000,Green,1,2;Fairway_3|Fairway|10.3411;Green_1|Green|10.4263
38,-241.1952,-72.0000,Green,1,2;Fairway_3|Fairway|10.3405;Green_1|Green|10.4258
39,-241.1952,-72.0000,Green,1,2;Fairway_3|Fairway|10.3405;Green_1|Green|10.4258
39,-241.1748,-72.0000,Green,1,2;Fairway_3|Fairway|10.3399;Green_1|Green|10.4252
40,-241.1748,-72.0000,Green,1,2;Fairway_3|Fairway|10.3399;Green_1|Green|10.4252
40,-241.1543,-72.0000,Green,1,2;Fairway_3|Fairway|10.3394;Green_1|Green|10.4246
41,-241.1543,-72.0000,Green,1,2;Fairway_3|Fairway|10.3394;Green_1|Green|10.4246
41,-241.1339,-72.0000,Green,1,2;Fairway_3|Fairway|10.3388;Green_1|Green|10.4241
42,-241.1339,-72.0000,Green,1,2;Fairway_3|Fairway|10.3388;Green_1|Green|10.4241
42,-241.1134,-72.0000,Green,1,2;Fairway_3|Fairway|10.3383;Green_1|Green|10.4235
43,-241.1134,-72.0000,Green,1,2;Fairway_3|Fairway|10.3383;Green_1|Green|10.4235
43,-241.0930,-72.0000,Green,1,2;Fairway_3|Fairway|10.3377;Green_1|Green|10.4229
44,-241.0930,-72.0000,Green,1,2;Fairway_3|Fairway|10.3377;Green_1|Green|10.4229
44,-241.0726,-72.0000,Green,1,2;Fairway_3|Fairway|10.3371;Green_1|Green|10.4224
45,-241.0726,-72.0000,Green,1,2;Fairway_3|Fairway|10.3371;Green_1|Green|10.4224
45,-241.0522,-72.0000,Green,1,2;Fairway_3|Fairway|10.3366;Green_1|Green|10.4218
46,-241.0522,-72.0000,Green,1,2;Fairway_3|Fairway|10.3366;Green_1|Green|10.4218
46,-241.0318,-72.0000,Green,1,2;Fairway_3|Fairway|10.3360;Green_1|Green|10.4212
47,-241.0318,-72.0000,Green,1,2;Fairway_3|Fairway|10.3360;Green_1|Green|10.4212
47,-241.0114,-72.0000,Green,1,2;Fairway_3|Fairway|10.3355;Green_1|Green|10.4206
48,-241.0114,-72.0000,Green,1,2;Fairway_3|Fairway|10.3355;Green_1|Green|10.4206
48,-240.9910,-72.0000,Green,1,2;Fairway_3|Fairway|10.3349;Green_1|Green|10.4201
49,-240.9910,-72.0000,Green,1,2;Fairway_3|Fairway|10.3349;Green_1|Green|10.4201
49,-240.9706,-72.0000,Green,1,2;Fairway_3|Fairway|10.3343;Green_1|Green|10.4195
50,-240.9706,-72.0000,Green,1,2;Fairway_3|Fairway|10.3343;Green_1|Green|10.4195
50,-240.9503,-72.0000,Green,1,2;Fairway_3|Fairway|10.3338;Green_1|Green|10.4189
51,-240.9503,-72.0000,Green,1,2;Fairway_3|Fairway|10.3338;Green_1|Green|10.4189
51,-240.9299,-72.0000,Green,1,2;Fairway_3|Fairway|10.3332;Green_1|Green|10.4184
52,-240.9299,-72.0000,Green,1,2;Fairway_3|Fairway|10.3332;Green_1|Green|10.4184
52,-240.9095,-72.0000,Green,1,2;Fairway_3|Fairway|10.3327;Green_1|Green|10.4178
53,-240.9095,-72.0000,Green,1,2;Fairway_3|Fairway|10.3327;Green_1|Green|10.4178
53,-240.8892,-72.0000,Green,1,2;Fairway_3|Fairway|10.3321;Green_1|Green|10.4172
54,-240.8892,-72.0000,Green,1,2;Fairway_3|Fairway|10.3321;Green_1|Green|10.4172
54,-240.8689,-72.0000,Green,1,2;Fairway_3|Fairway|10.3316;Green_1|Green|10.4167
55,-240.8689,-72.0000,Green,1,2;Fairway_3|Fairway|10.3316;Green_1|Green|10.4167
55,-240.8485,-72.0000,Green,1,2;Fairway_3|Fairway|10.3310;Green_1|Green|10.4161
56,-240.8485,-72.0000,Green,1,2;Fairway_3|Fairway|10.3310;Green_1|Green|10.4161
