frame,cam_x,cam_y,cam_z
0,0.00000000,1.80000000,-3.00000000
1,0.00000000,1.89008300,-2.83015000
2,0.00000000,2.10876900,-2.41592600
3,0.00000000,2.42058400,-1.82148100
4,0.00000000,2.78745100,-1.11659400
5,0.00000000,3.18299200,-0.34976900
6,0.00000000,3.59147200,0.45002250
7,0.00000000,4.00420400,1.26676600
8,0.00000000,4.41660800,2.09201600
9,0.00000000,4.82634400,2.92145800
10,0.00000000,5.23224500,3.75293500
11,0.00000000,5.63373700,4.58539000
12,0.00000000,6.03054300,5.41831100
13,0.00000000,6.42253000,6.25145200
14,0.00000000,6.80963500,7.08469600
15,0.00000000,7.19182700,7.91798700
16,0.00000000,7.56909300,8.75130200
17,0.00000000,7.94142600,9.58462600
18,0.00000000,8.30882400,10.41796000
19,0.00000000,8.67128400,11.25129000
20,0.00000000,9.02880700,12.08462000
21,0.00000000,9.38139200,12.91795000
22,0.00000000,9.72903800,13.75129000
23,0.00000000,10.07175000,14.58462000
24,0.00000000,10.40952000,15.41795000
25,0.00000000,10.74235000,16.25129000
26,0.00000000,11.07024000,17.08462000
27,0.00000000,11.39320000,17.91795000
28,0.00000000,11.71122000,18.75129000
29,0.00000000,12.02429000,19.58462000
30,0.00000000,12.33243000,20.41795000
31,0.00000000,12.63564000,21.25129000
32,0.00000000,12.93390000,22.08462000
33,0.00000000,13.22723000,22.91795000
34,0.00000000,13.51561000,23.75129000
35,0.00000000,13.79906000,24.58462000
36,0.00000000,14.07757000,25.41795000
37,0.00000000,14.35115000,26.25129000
38,0.00000000,14.61978000,27.08462000
39,0.00000000,14.88348000,27.91795000
40,0.00000000,15.14223000,28.75129000
41,0.00000000,15.39605000,29.58462000
42,0.00000000,15.64494000,30.41795000
43,0.00000000,15.88888000,31.25129000
44,0.00000000,16.12788000,32.08462000
45,0.00000000,16.36195000,32.91795000
46,0.00000000,16.59108000,33.75129000
47,0.00000000,16.81527000,34.58462000
48,0.00000000,17.03452000,35.41795000
49,0.00000000,17.24883000,36.25129000
