frame,cam_x,cam_y,cam_z
50,0.00000000,17.45821000,37.08462000
51,0.00000000,17.66265000,37.91795000
52,0.00000000,17.86214000,38.75129000
53,0.00000000,18.05670000,39.58462000
54,0.00000000,18.24633000,40.41795000
55,0.00000000,18.43101000,41.25129000
56,0.00000000,18.61075000,42.08462000
57,0.00000000,18.78556000,42.91795000
58,0.00000000,18.95543000,43.75129000
59,0.00000000,19.12036000,44.58462000
60,0.00000000,19.28035000,45.41795000
61,0.00000000,19.43541000,46.25129000
62,0.00000000,19.58552000,47.08462000
63,0.00000000,19.73070000,47.91796000
64,0.00000000,19.87094000,48.75129000
65,0.00000000,20.00624000,49.58462000
66,0.00000000,20.13660000,50.41795000
67,0.00000000,20.26203000,51.25129000
68,0.00000000,20.38251000,52.08462000
69,0.00000000,20.49806000,52.91795000
70,0.00000000,20.60867000,53.75129000
71,0.00000000,20.71434000,54.58463000
72,0.00000000,20.81507000,55.41796000
73,0.00000000,20.91087000,56.25129000
74,0.00000000,21.00173000,57.08462000
75,0.00000000,21.08764000,57.91795000
76,0.00000000,21.16862000,58.75129000
77,0.00000000,21.24467000,59.58463000
78,0.00000000,21.31577000,60.41796000
79,0.00000000,21.38194000,61.25129000
80,0.00000000,21.44316000,62.08462000
81,0.00000000,21.49945000,62.91795000
82,0.00000000,21.55080000,63.75129000
83,0.00000000,21.59721000,64.58462000
84,0.00000000,21.63869000,65.41795000
85,0.00000000,21.67522000,66.25129000
86,0.00000000,21.70682000,67.08463000
87,0.00000000,21.73348000,67.91796000
88,0.00000000,21.75520000,68.75129000
89,0.00000000,21.77198000,69.58463000
90,0.00000000,21.78383000,70.41796000
91,0.00000000,21.79074000,71.25130000
92,0.00000000,21.79270000,72.08463000
93,0.00000000,21.78973000,72.91796000
94,0.00000000,21.78182000,73.75129000
95,0.00000000,21.76897000,74.58463000
96,0.00000000,21.75119000,75.41796000
97,0.00000000,21.72847000,76.25130000
98,0.00000000,21.70080000,77.08463000
99,0.00000000,21.66820000,77.91796000
100,0.00000000,21.63066000,78.75129000
101,0.00000000,21.58819000,79.58463000
102,0.00000000,21.54077000,80.41795000
103,0.00000000,21.48842000,81.25129000
104,0.00000000,21.43113000,82.08463000
105,0.00000000,21.36890000,82.91796000
106,0.00000000,21.30173000,83.75130000
107,0.00000000,21.22962000,84.58463000
108,0.00000000,21.15258000,85.41796000
109,0.00000000,21.07059000,86.25129000
110,0.00000000,20.98368000,87.08462000
111,0.00000000,20.89182000,87.91795000
112,0.00000000,20.79502000,88.75129000
113,0.00000000,20.69328000,89.58463000
114,0.00000000,20.58661000,90.41796000
115,0.00000000,20.47499000,91.25130000
116,0.00000000,20.35844000,92.08463000
117,0.00000000,20.23696000,92.91796000
118,0.00000000,20.11053000,93.75130000
119,0.00000000,19.97916000,94.58463000
120,0.00000000,19.84286000,95.41796000
121,0.00000000,19.70161000,96.25130000
122,0.00000000,19.55543000,97.08463000
123,0.00000000,19.40431000,97.91796000
124,0.00000000,19.24826000,98.75130000
125,0.00000000,19.08726000,99.58463000
126,0.00000000,18.92133000,100.41800000
127,0.00000000,18.75046000,101.25130000
128,0.00000000,18.57465000,102.08460000
129,0.00000000,18.39390000,102.91800000
130,0.00000000,18.20821000,103.75130000
131,0.00000000,18.01759000,104.58460000
132,0.00000000,17.82203000,105.41800000
133,0.00000000,17.62152000,106.25130000
134,0.00000000,17.41608000,107.08460000
135,0.00000000,17.20571000,107.91800000
136,0.00000000,16.99039000,108.75130000
137,0.00000000,16.77014000,109.58460000
138,0.00000000,16.54494000,110.41800000
139,0.00000000,16.31481000,111.25130000
140,0.00000000,16.07974000,112.08460000
141,0.00000000,15.83974000,112.91800000
142,0.00000000,15.59479000,113.75130000
143,0.00000000,15.34490000,114.58460000
144,0.00000000,15.09008000,115.41800000
145,0.00000000,14.83032000,116.25130000
146,0.00000000,14.56562000,117.08460000
147,0.00000000,14.29599000,117.91800000
148,0.00000000,14.02141000,118.75130000
149,0.00000000,13.74190000,119.58460000
150,0.00000000,13.45744000,120.41800000
151,0.00000000,13.16805000,121.25130000
152,0.00000000,12.87372000,122.08460000
153,0.00000000,12.57446000,122.91800000
154,0.00000000,12.27025000,123.75130000
155,0.00000000,11.96111000,124.58460000
156,0.00000000,11.64703000,125.41800000
157,0.00000000,11.32801000,126.25130000
158,0.00000000,11.00405000,127.08460000
159,0.00000000,10.67515000,127.91800000
160,0.00000000,10.34132000,128.75130000
161,0.00000000,10.00255000,129.58460000
162,0.00000000,9.65883400,130.41800000
163,0.00000000,9.31018500,131.25130000
164,0.00000000,8.95659700,132.08460000
165,0.00000000,8.59807000,132.91800000
166,0.00000000,8.23460500,133.75130000
167,0.00000000,7.86620100,134.58460000
168,0.00000000,7.49286000,135.41800000
169,0.00000000,7.11458100,136.25130000
170,0.00000000,6.73136300,137.08460000
171,0.00000000,6.34320800,137.91800000
172,0.00000000,5.95011400,138.75130000
173,0.00000000,5.55208200,139.58460000
174,0.00000000,5.14911200,140.41800000
175,0.00000000,4.74120300,141.25130000
176,0.00000000,4.32835700,142.08460000
177,0.00000000,3.91057200,142.91800000
178,0.00000000,3.48784700,143.75130000
179,0.00000000,3.06018300,144.58460000
