frame,time,x,y,z,vy,groundY,signedDist,zoneType,phase,dGroundY,zoneFlip
67,0.2791,22.331,14.370,25.553,10.729,10.451,3.919,Fairway,airborne,-0.006,0
68,0.2833,22.088,14.415,25.457,10.664,10.445,3.970,Fairway,airborne,-0.006,0
69,0.2874,21.845,14.459,25.362,10.599,10.440,4.019,Fairway,airborne,-0.005,0
70,0.2916,21.603,14.503,25.268,10.535,10.435,4.069,Fairway,airborne,-0.005,0
71,0.2958,21.361,14.547,25.173,10.470,10.429,4.118,Fairway,airborne,-0.006,0
72,0.2999,21.120,14.590,25.079,10.406,10.423,4.167,Fairway,airborne,-0.006,0
73,0.3041,20.879,14.634,24.984,10.342,10.417,4.216,Fairway,airborne,-0.006,0
74,0.3083,20.639,14.677,24.891,10.278,10.412,4.265,Fairway,airborne,-0.005,0
75,0.3124,20.399,14.719,24.797,10.215,10.407,4.313,Fairway,airborne,-0.005,0
76,0.3166,20.160,14.762,24.703,10.152,10.401,4.360,Fairway,airborne,-0.005,0
77,0.3208,19.922,14.804,24.610,10.089,10.396,4.407,Fairway,airborne,-0.005,0
78,0.3249,19.684,14.846,24.517,10.026,10.391,4.454,Fairway,airborne,-0.005,0
79,0.3291,19.446,14.887,24.424,9.964,10.386,4.501,Fairway,airborne,-0.005,0
80,0.3333,19.209,14.929,24.331,9.901,10.381,4.548,Fairway,airborne,-0.005,0
81,0.3374,18.973,14.970,24.239,9.839,10.375,4.594,Fairway,airborne,-0.005,0
82,0.3416,18.737,15.011,24.146,9.778,10.370,4.640,Fairway,airborne,-0.005,0
83,0.3457,18.501,15.051,24.054,9.716,10.365,4.686,Fairway,airborne,-0.005,0
84,0.3499,18.266,15.092,23.962,9.655,10.359,4.732,Fairway,airborne,-0.005,0
85,0.3541,18.031,15.132,23.871,9.593,10.354,4.777,Fairway,airborne,-0.005,0
86,0.3582,17.797,15.171,23.779,9.533,10.349,4.822,Fairway,airborne,-0.005,0
87,0.3624,17.564,15.211,23.688,9.472,10.344,4.867,Fairway,airborne,-0.005,0
88,0.3666,17.331,15.250,23.597,9.411,10.339,4.911,Fairway,airborne,-0.005,0
89,0.3707,17.098,15.289,23.506,9.351,10.334,4.955,Fairway,airborne,-0.005,0
90,0.3749,16.866,15.328,23.415,9.291,10.329,4.999,Fairway,airborne,-0.005,0
91,0.3791,16.635,15.367,23.324,9.231,10.325,5.042,Fairway,airborne,-0.005,0
92,0.3832,16.403,15.405,23.234,9.172,10.320,5.085,Fairway,airborne,-0.005,0
93,0.3874,16.173,15.443,23.144,9.112,10.315,5.128,Fairway,airborne,-0.005,0
94,0.3916,15.943,15.481,23.054,9.053,10.310,5.171,Fairway,airborne,-0.005,0
95,0.3957,15.713,15.519,22.964,8.994,10.305,5.214,Fairway,airborne,-0.005,0
96,0.3999,15.484,15.556,22.874,8.935,10.300,5.256,Fairway,airborne,-0.005,0
