hole,shot_variant,tee_pos_x,tee_pos_y,tee_pos_z,first_contact_pos_x,first_contact_pos_y,first_contact_pos_z,end_pos_x,end_pos_y,end_pos_z,end_surface,carry_m,roll_m,total_m,bounce_count,sim_duration_s,timestamp_iso
1,straight,219.4277,11.4581,34.7341,-2.9033,7.8061,-18.3146,-25.9791,7.1955,-23.8350,Fairway,228.5722,23.7270,252.2992,6,11.5297,2026-05-19T06:17:35.2980390+02:00
1,draw3deg,219.4277,11.4581,34.7341,-0.6617,7.3221,-30.1245,-0.6617,7.3221,-30.1245,OOB,229.4472,0.0000,229.4472,0,5.4346,2026-05-19T06:17:35.6342440+02:00
9,straight,-178.9987,9.5386,-24.2355,37.6491,10.2825,14.4100,58.2829,10.7818,18.0642,Fairway,220.0676,20.9548,241.0224,5,13.6261,2026-05-19T06:17:39.1533570+02:00
9,draw3deg,-178.9987,9.5386,-24.2355,34.0043,10.9323,25.3865,54.4261,11.3313,30.1191,Fairway,218.7067,20.9630,239.6697,5,13.5878,2026-05-19T06:17:39.6162910+02:00
18,straight,-247.7400,5.2402,-80.5000,-28.1610,3.2020,-28.8884,-28.1610,3.2020,-28.8884,OOB,225.5631,0.0000,225.5631,0,5.2967,2026-05-19T06:17:43.0705240+02:00
18,draw3deg,-247.7400,5.2402,-80.5000,-33.3132,4.3636,-18.0924,-12.5031,4.8272,-12.0587,Fairway,223.3239,21.6671,244.9910,5,13.7599,2026-05-19T06:17:43.4199340+02:00
