frame,phase,surface,ballX,ballY,ballZ,groundY2arg,groundY3arg
79,roll,Fairway,78.3816,10.2893,28.0766,10.2680,10.2680
80,roll,Fairway,78.3798,10.2893,28.0765,10.2680,10.2680
81,roll,Fairway,78.3781,10.2893,28.0763,10.2680,10.2680
82,roll,Fairway,78.3763,10.2894,28.0762,10.2680,10.2680
83,roll,Fairway,78.3746,10.2894,28.0760,10.2680,10.2680
84,roll,Fairway,78.3728,10.2894,28.0759,10.2680,10.2680
85,roll,Fairway,78.3711,10.2894,28.0757,10.2681,10.2681
86,roll,Fairway,78.3693,10.2894,28.0756,10.2681,10.2681
87,roll,Fairway,78.3676,10.2894,28.0754,10.2681,10.2681
88,roll,Fairway,78.3658,10.2894,28.0753,10.2681,10.2681
89,roll,Fairway,78.3641,10.2894,28.0751,10.2681,10.2681
90,roll,Fairway,78.3623,10.2895,28.0750,10.2681,10.2681
91,roll,Fairway,78.3606,10.2895,28.0748,10.2681,10.2681
92,roll,Fairway,78.3589,10.2895,28.0747,10.2681,10.2681
93,roll,Fairway,78.3571,10.2895,28.0745,10.2682,10.2682
94,roll,Fairway,78.3554,10.2895,28.0744,10.2682,10.2682
95,roll,Fairway,78.3536,10.2895,28.0742,10.2682,10.2682
96,roll,Fairway,78.3519,10.2895,28.0741,10.2682,10.2682
97,roll,Fairway,78.3502,10.2896,28.0739,10.2682,10.2682
98,roll,Fairway,78.3484,10.2896,28.0738,10.2682,10.2682
99,roll,Fairway,78.3467,10.2896,28.0736,10.2682,10.2682
100,roll,Fairway,78.3450,10.2896,28.0734,10.2683,10.2683
101,roll,Fairway,78.3433,10.2896,28.0733,10.2683,10.2683
102,roll,Fairway,78.3415,10.2896,28.0731,10.2683,10.2683
103,roll,Fairway,78.3398,10.2896,28.0730,10.2683,10.2683
104,roll,Fairway,78.3381,10.2896,28.0728,10.2683,10.2683
105,roll,Fairway,78.3364,10.2897,28.0727,10.2683,10.2683
106,roll,Fairway,78.3346,10.2897,28.0725,10.2683,10.2683
107,roll,Fairway,78.3329,10.2897,28.0724,10.2683,10.2683
108,roll,Fairway,78.3312,10.2897,28.0722,10.2684,10.2684
109,roll,Fairway,78.3295,10.2897,28.0721,10.2684,10.2684
110,roll,Fairway,78.3277,10.2897,28.0719,10.2684,10.2684
111,roll,Fairway,78.3260,10.2897,28.0718,10.2684,10.2684
112,roll,Fairway,78.3243,10.2898,28.0716,10.2684,10.2684
113,roll,Fairway,78.3226,10.2898,28.0715,10.2684,10.2684
114,roll,Fairway,78.3209,10.2898,28.0713,10.2684,10.2684
115,roll,Fairway,78.3192,10.2898,28.0712,10.2685,10.2685
116,roll,Fairway,78.3175,10.2898,28.0710,10.2685,10.2685
117,roll,Fairway,78.3158,10.2898,28.0709,10.2685,10.2685
118,roll,Fairway,78.3141,10.2898,28.0707,10.2685,10.2685
119,roll,Fairway,78.3124,10.2898,28.0705,10.2685,10.2685
120,roll,Fairway,78.3106,10.2899,28.0704,10.2685,10.2685
121,roll,Fairway,78.3089,10.2899,28.0702,10.2685,10.2685
122,roll,Fairway,78.3072,10.2899,28.0701,10.2685,10.2685
123,roll,Fairway,78.3055,10.2899,28.0699,10.2686,10.2686
124,roll,Fairway,78.3038,10.2899,28.0698,10.2686,10.2686
125,roll,Fairway,78.3021,10.2899,28.0696,10.2686,10.2686
126,roll,Fairway,78.3005,10.2899,28.0695,10.2686,10.2686
127,roll,Fairway,78.2988,10.2900,28.0693,10.2686,10.2686
128,roll,Fairway,78.2971,10.2900,28.0692,10.2686,10.2686
129,roll,Fairway,78.2954,10.2900,28.0690,10.2686,10.2686
130,roll,Fairway,78.2937,10.2900,28.0689,10.2687,10.2687
131,roll,Fairway,78.2920,10.2900,28.0687,10.2687,10.2687
132,roll,Fairway,78.2903,10.2900,28.0686,10.2687,10.2687
133,roll,Fairway,78.2886,10.2900,28.0684,10.2687,10.2687
134,roll,Fairway,78.2869,10.2900,28.0683,10.2687,10.2687
135,roll,Fairway,78.2852,10.2901,28.0681,10.2687,10.2687
136,roll,Fairway,78.2835,10.2901,28.0680,10.2687,10.2687
137,roll,Fairway,78.2819,10.2901,28.0678,10.2687,10.2687
138,roll,Fairway,78.2802,10.2901,28.0676,10.2687,10.2687
139,roll,Fairway,78.2785,10.2901,28.0675,10.2688,10.2688
140,roll,Fairway,78.2768,10.2901,28.0673,10.2688,10.2688
141,roll,Fairway,78.2751,10.2901,28.0672,10.2688,10.2688
142,roll,Fairway,78.2735,10.2902,28.0670,10.2688,10.2688
143,roll,Fairway,78.2718,10.2902,28.0669,10.2688,10.2688
144,roll,Fairway,78.2701,10.2902,28.0667,10.2688,10.2688
145,roll,Fairway,78.2684,10.2902,28.0666,10.2688,10.2688
146,roll,Fairway,78.2667,10.2902,28.0664,10.2688,10.2688
147,roll,Fairway,78.2651,10.2902,28.0663,10.2689,10.2689
148,roll,Fairway,78.2634,10.2902,28.0661,10.2689,10.2689
149,roll,Fairway,78.2617,10.2902,28.0660,10.2689,10.2689
150,roll,Fairway,78.2601,10.2902,28.0658,10.2689,10.2689
151,roll,Fairway,78.2584,10.2903,28.0657,10.2689,10.2689
152,roll,Fairway,78.2567,10.2903,28.0655,10.2689,10.2689
153,roll,Fairway,78.2551,10.2903,28.0654,10.2689,10.2689
154,roll,Fairway,78.2534,10.2903,28.0652,10.2690,10.2690
155,roll,Fairway,78.2517,10.2903,28.0651,10.2690,10.2690
156,roll,Fairway,78.2501,10.2903,28.0649,10.2690,10.2690
157,roll,Fairway,78.2484,10.2903,28.0647,10.2690,10.2690
158,roll,Fairway,78.2468,10.2903,28.0646,10.2690,10.2690
159,roll,Fairway,78.2451,10.2904,28.0644,10.2690,10.2690
160,roll,Fairway,78.2434,10.2904,28.0643,10.2690,10.2690
161,roll,Fairway,78.2418,10.2904,28.0641,10.2690,10.2690
162,roll,Fairway,78.2401,10.2904,28.0640,10.2690,10.2690
163,roll,Fairway,78.2385,10.2904,28.0638,10.2691,10.2691
164,roll,Fairway,78.2368,10.2904,28.0637,10.2691,10.2691
165,roll,Fairway,78.2352,10.2904,28.0635,10.2691,10.2691
166,roll,Fairway,78.2335,10.2905,28.0634,10.2691,10.2691
167,roll,Fairway,78.2319,10.2905,28.0632,10.2691,10.2691
168,roll,Fairway,78.2302,10.2905,28.0631,10.2691,10.2691
169,roll,Fairway,78.2286,10.2905,28.0629,10.2691,10.2691
170,roll,Fairway,78.2269,10.2905,28.0628,10.2692,10.2692
171,roll,Fairway,78.2253,10.2905,28.0626,10.2692,10.2692
172,roll,Fairway,78.2237,10.2905,28.0625,10.2692,10.2692
173,roll,Fairway,78.2220,10.2905,28.0623,10.2692,10.2692
