frame,phase,surface,ballX,ballY,ballZ,groundY2arg,groundY3arg
86,roll,Fairway,-405.3150,0.0213,-72.0000,0.0000,0.0000
87,roll,Fairway,-405.3165,0.0213,-72.0000,0.0000,0.0000
88,roll,Fairway,-405.3181,0.0213,-72.0000,0.0000,0.0000
89,roll,Fairway,-405.3196,0.0213,-72.0000,0.0000,0.0000
90,roll,Fairway,-405.3211,0.0213,-72.0000,0.0000,0.0000
91,roll,Fairway,-405.3226,0.0213,-72.0000,0.0000,0.0000
92,roll,Fairway,-405.3242,0.0213,-72.0000,0.0000,0.0000
93,roll,Fairway,-405.3257,0.0213,-72.0000,0.0000,0.0000
94,roll,Fairway,-405.3272,0.0213,-72.0000,0.0000,0.0000
95,roll,Fairway,-405.3287,0.0213,-72.0000,0.0000,0.0000
96,roll,Fairway,-405.3303,0.0213,-72.0000,0.0000,0.0000
97,roll,Fairway,-405.3318,0.0213,-72.0000,0.0000,0.0000
98,roll,Fairway,-405.3333,0.0213,-72.0000,0.0000,0.0000
99,roll,Fairway,-405.3348,0.0213,-72.0000,0.0000,0.0000
100,roll,Fairway,-405.3364,0.0213,-72.0000,0.0000,0.0000
101,roll,Fairway,-405.3379,0.0213,-72.0000,0.0000,0.0000
102,roll,Fairway,-405.3394,0.0213,-72.0000,0.0000,0.0000
103,roll,Fairway,-405.3409,0.0213,-72.0000,0.0000,0.0000
104,roll,Fairway,-405.3424,0.0213,-72.0000,0.0000,0.0000
105,roll,Fairway,-405.3439,0.0213,-72.0000,0.0000,0.0000
106,roll,Fairway,-405.3455,0.0213,-72.0000,0.0000,0.0000
107,roll,Fairway,-405.3470,0.0213,-72.0000,0.0000,0.0000
108,roll,Fairway,-405.3484,0.0213,-72.0000,0.0000,0.0000
109,roll,Fairway,-405.3500,0.0213,-72.0000,0.0000,0.0000
110,roll,Fairway,-405.3515,0.0213,-72.0000,0.0000,0.0000
111,roll,Fairway,-405.3530,0.0213,-72.0000,0.0000,0.0000
112,roll,Fairway,-405.3545,0.0213,-72.0000,0.0000,0.0000
113,roll,Fairway,-405.3560,0.0213,-72.0000,0.0000,0.0000
114,roll,Fairway,-405.3575,0.0213,-72.0000,0.0000,0.0000
115,roll,Fairway,-405.3590,0.0213,-72.0000,0.0000,0.0000
116,roll,Fairway,-405.3605,0.0213,-72.0000,0.0000,0.0000
117,roll,Fairway,-405.3621,0.0213,-72.0000,0.0000,0.0000
118,roll,Fairway,-405.3635,0.0213,-72.0000,0.0000,0.0000
119,roll,Fairway,-405.3651,0.0213,-72.0000,0.0000,0.0000
120,roll,Fairway,-405.3665,0.0213,-72.0000,0.0000,0.0000
121,roll,Fairway,-405.3680,0.0213,-72.0000,0.0000,0.0000
122,roll,Fairway,-405.3695,0.0213,-72.0000,0.0000,0.0000
123,roll,Fairway,-405.3710,0.0213,-72.0000,0.0000,0.0000
124,roll,Fairway,-405.3725,0.0213,-72.0000,0.0000,0.0000
125,roll,Fairway,-405.3740,0.0213,-72.0000,0.0000,0.0000
126,roll,Fairway,-405.3755,0.0213,-72.0000,0.0000,0.0000
127,roll,Fairway,-405.3770,0.0213,-72.0000,0.0000,0.0000
128,roll,Fairway,-405.3785,0.0213,-72.0000,0.0000,0.0000
129,roll,Fairway,-405.3800,0.0213,-72.0000,0.0000,0.0000
130,roll,Fairway,-405.3815,0.0213,-72.0000,0.0000,0.0000
131,roll,Fairway,-405.3830,0.0213,-72.0000,0.0000,0.0000
132,roll,Fairway,-405.3845,0.0213,-72.0000,0.0000,0.0000
133,roll,Fairway,-405.3859,0.0213,-72.0000,0.0000,0.0000
134,roll,Fairway,-405.3874,0.0213,-72.0000,0.0000,0.0000
135,roll,Fairway,-405.3889,0.0213,-72.0000,0.0000,0.0000
136,roll,Fairway,-405.3904,0.0213,-72.0000,0.0000,0.0000
137,roll,Fairway,-405.3918,0.0213,-72.0000,0.0000,0.0000
138,roll,Fairway,-405.3933,0.0213,-72.0000,0.0000,0.0000
139,roll,Fairway,-405.3948,0.0213,-72.0000,0.0000,0.0000
140,roll,Fairway,-405.3963,0.0213,-72.0000,0.0000,0.0000
141,roll,Fairway,-405.3978,0.0213,-72.0000,0.0000,0.0000
142,roll,Fairway,-405.3992,0.0213,-72.0000,0.0000,0.0000
143,roll,Fairway,-405.4007,0.0213,-72.0000,0.0000,0.0000
144,roll,Fairway,-405.4022,0.0213,-72.0000,0.0000,0.0000
145,roll,Fairway,-405.4037,0.0213,-72.0000,0.0000,0.0000
146,roll,Fairway,-405.4052,0.0213,-72.0000,0.0000,0.0000
147,roll,Fairway,-405.4066,0.0213,-72.0000,0.0000,0.0000
148,roll,Fairway,-405.4081,0.0213,-72.0000,0.0000,0.0000
149,roll,Fairway,-405.4095,0.0213,-72.0000,0.0000,0.0000
150,roll,Fairway,-405.4110,0.0213,-72.0000,0.0000,0.0000
151,roll,Fairway,-405.4125,0.0213,-72.0000,0.0000,0.0000
152,roll,Fairway,-405.4139,0.0213,-72.0000,0.0000,0.0000
153,roll,Fairway,-405.4154,0.0213,-72.0000,0.0000,0.0000
154,roll,Fairway,-405.4169,0.0213,-72.0000,0.0000,0.0000
155,roll,Fairway,-405.4183,0.0213,-72.0000,0.0000,0.0000
156,roll,Fairway,-405.4198,0.0213,-72.0000,0.0000,0.0000
157,roll,Fairway,-405.4213,0.0213,-72.0000,0.0000,0.0000
158,roll,Fairway,-405.4227,0.0213,-72.0000,0.0000,0.0000
159,roll,Fairway,-405.4242,0.0213,-72.0000,0.0000,0.0000
160,roll,Fairway,-405.4256,0.0213,-72.0000,0.0000,0.0000
161,roll,Fairway,-405.4271,0.0213,-72.0000,0.0000,0.0000
162,roll,Fairway,-405.4285,0.0213,-72.0000,0.0000,0.0000
163,roll,Fairway,-405.4300,0.0213,-72.0000,0.0000,0.0000
164,roll,Fairway,-405.4314,0.0213,-72.0000,0.0000,0.0000
165,roll,Fairway,-405.4329,0.0213,-72.0000,0.0000,0.0000
166,roll,Fairway,-405.4343,0.0213,-72.0000,0.0000,0.0000
167,roll,Fairway,-405.4358,0.0213,-72.0000,0.0000,0.0000
168,roll,Fairway,-405.4372,0.0213,-72.0000,0.0000,0.0000
169,roll,Fairway,-405.4387,0.0213,-72.0000,0.0000,0.0000
170,roll,Fairway,-405.4401,0.0213,-72.0000,0.0000,0.0000
171,roll,Fairway,-405.4416,0.0213,-72.0000,0.0000,0.0000
172,roll,Fairway,-405.4430,0.0213,-72.0000,0.0000,0.0000
173,roll,Fairway,-405.4445,0.0213,-72.0000,0.0000,0.0000
174,roll,Fairway,-405.4459,0.0213,-72.0000,0.0000,0.0000
175,roll,Fairway,-405.4473,0.0213,-72.0000,0.0000,0.0000
176,roll,Fairway,-405.4487,0.0213,-72.0000,0.0000,0.0000
177,roll,Fairway,-405.4502,0.0213,-72.0000,0.0000,0.0000
178,roll,Fairway,-405.4516,0.0213,-72.0000,0.0000,0.0000
179,roll,Fairway,-405.4531,0.0213,-72.0000,0.0000,0.0000
180,roll,Fairway,-405.4545,0.0213,-72.0000,0.0000,0.0000
181,roll,Fairway,-405.4559,0.0213,-72.0000,0.0000,0.0000
182,roll,Fairway,-405.4573,0.0213,-72.0000,0.0000,0.0000
183,roll,Fairway,-405.4588,0.0213,-72.0000,0.0000,0.0000
184,roll,Fairway,-405.4602,0.0213,-72.0000,0.0000,0.0000
185,roll,Fairway,-405.4617,0.0213,-72.0000,0.0000,0.0000
186,roll,Fairway,-405.4631,0.0213,-72.0000,0.0000,0.0000
187,roll,Fairway,-405.4645,0.0213,-72.0000,0.0000,0.0000
188,roll,Fairway,-405.4659,0.0213,-72.0000,0.0000,0.0000
189,roll,Fairway,-405.4673,0.0213,-72.0000,0.0000,0.0000
190,roll,Fairway,-405.4688,0.0213,-72.0000,0.0000,0.0000
191,roll,Fairway,-405.4702,0.0213,-72.0000,0.0000,0.0000
192,roll,Fairway,-405.4716,0.0213,-72.0000,0.0000,0.0000
193,roll,Fairway,-405.4730,0.0213,-72.0000,0.0000,0.0000
194,roll,Fairway,-405.4745,0.0213,-72.0000,0.0000,0.0000
195,roll,Fairway,-405.4759,0.0213,-72.0000,0.0000,0.0000
196,roll,Fairway,-405.4773,0.0213,-72.0000,0.0000,0.0000
197,roll,Fairway,-405.4787,0.0213,-72.0000,0.0000,0.0000
198,roll,Fairway,-405.4801,0.0213,-72.0000,0.0000,0.0000
199,roll,Fairway,-405.4816,0.0213,-72.0000,0.0000,0.0000
200,roll,Fairway,-405.4830,0.0213,-72.0000,0.0000,0.0000
201,roll,Fairway,-405.4844,0.0213,-72.0000,0.0000,0.0000
202,roll,Fairway,-405.4858,0.0213,-72.0000,0.0000,0.0000
203,roll,Fairway,-405.4872,0.0213,-72.0000,0.0000,0.0000
204,roll,Fairway,-405.4886,0.0213,-72.0000,0.0000,0.0000
205,roll,Fairway,-405.4900,0.0213,-72.0000,0.0000,0.0000
206,roll,Fairway,-405.4914,0.0213,-72.0000,0.0000,0.0000
207,roll,Fairway,-405.4928,0.0213,-72.0000,0.0000,0.0000
208,roll,Fairway,-405.4942,0.0213,-72.0000,0.0000,0.0000
209,roll,Fairway,-405.4956,0.0213,-72.0000,0.0000,0.0000
210,roll,Fairway,-405.4970,0.0213,-72.0000,0.0000,0.0000
211,roll,Fairway,-405.4984,0.0213,-72.0000,0.0000,0.0000
212,roll,Fairway,-405.4998,0.0213,-72.0000,0.0000,0.0000
213,roll,Fairway,-405.5013,0.0213,-72.0000,0.0000,0.0000
214,roll,Fairway,-405.5027,0.0213,-72.0000,0.0000,0.0000
215,roll,Fairway,-405.5041,0.0213,-72.0000,0.0000,0.0000
216,roll,Fairway,-405.5055,0.0213,-72.0000,0.0000,0.0000
217,roll,Fairway,-405.5069,0.0213,-72.0000,0.0000,0.0000
218,roll,Fairway,-405.5082,0.0213,-72.0000,0.0000,0.0000
219,roll,Fairway,-405.5096,0.0213,-72.0000,0.0000,0.0000
220,roll,Fairway,-405.5110,0.0213,-72.0000,0.0000,0.0000
221,roll,Fairway,-405.5124,0.0213,-72.0000,0.0000,0.0000
222,roll,Fairway,-405.5138,0.0213,-72.0000,0.0000,0.0000
223,roll,Fairway,-405.5152,0.0213,-72.0000,0.0000,0.0000
224,roll,Fairway,-405.5166,0.0213,-72.0000,0.0000,0.0000
225,roll,Fairway,-405.5180,0.0213,-72.0000,0.0000,0.0000
226,roll,Fairway,-405.5193,0.0213,-72.0000,0.0000,0.0000
227,roll,Fairway,-405.5208,0.0213,-72.0000,0.0000,0.0000
228,roll,Fairway,-405.5222,0.0213,-72.0000,0.0000,0.0000
229,roll,Fairway,-405.5235,0.0213,-72.0000,0.0000,0.0000
230,roll,Fairway,-405.5249,0.0213,-72.0000,0.0000,0.0000
231,roll,Fairway,-405.5263,0.0213,-72.0000,0.0000,0.0000
232,roll,Fairway,-405.5277,0.0213,-72.0000,0.0000,0.0000
233,roll,Fairway,-405.5291,0.0213,-72.0000,0.0000,0.0000
234,roll,Fairway,-405.5305,0.0213,-72.0000,0.0000,0.0000
235,roll,Fairway,-405.5318,0.0213,-72.0000,0.0000,0.0000
236,roll,Fairway,-405.5332,0.0213,-72.0000,0.0000,0.0000
237,roll,Fairway,-405.5345,0.0213,-72.0000,0.0000,0.0000
238,roll,Fairway,-405.5359,0.0213,-72.0000,0.0000,0.0000
239,roll,Fairway,-405.5373,0.0213,-72.0000,0.0000,0.0000
240,roll,Fairway,-405.5387,0.0213,-72.0000,0.0000,0.0000
241,roll,Fairway,-405.5400,0.0213,-72.0000,0.0000,0.0000
242,roll,Fairway,-405.5414,0.0213,-72.0000,0.0000,0.0000
243,roll,Fairway,-405.5428,0.0213,-72.0000,0.0000,0.0000
244,roll,Fairway,-405.5442,0.0213,-72.0000,0.0000,0.0000
245,roll,Fairway,-405.5455,0.0213,-72.0000,0.0000,0.0000
246,roll,Fairway,-405.5469,0.0213,-72.0000,0.0000,0.0000
247,roll,Fairway,-405.5483,0.0213,-72.0000,0.0000,0.0000
248,roll,Fairway,-405.5497,0.0213,-72.0000,0.0000,0.0000
249,roll,Fairway,-405.5510,0.0213,-72.0000,0.0000,0.0000
250,roll,Fairway,-405.5524,0.0213,-72.0000,0.0000,0.0000
251,roll,Fairway,-405.5537,0.0213,-72.0000,0.0000,0.0000
252,roll,Fairway,-405.5551,0.0213,-72.0000,0.0000,0.0000
253,roll,Fairway,-405.5565,0.0213,-72.0000,0.0000,0.0000
254,roll,Fairway,-405.5578,0.0213,-72.0000,0.0000,0.0000
255,roll,Fairway,-405.5591,0.0213,-72.0000,0.0000,0.0000
256,roll,Fairway,-405.5605,0.0213,-72.0000,0.0000,0.0000
257,roll,Fairway,-405.5619,0.0213,-72.0000,0.0000,0.0000
258,roll,Fairway,-405.5632,0.0213,-72.0000,0.0000,0.0000
259,roll,Fairway,-405.5646,0.0213,-72.0000,0.0000,0.0000
260,roll,Fairway,-405.5659,0.0213,-72.0000,0.0000,0.0000
261,roll,Fairway,-405.5673,0.0213,-72.0000,0.0000,0.0000
262,roll,Fairway,-405.5687,0.0213,-72.0000,0.0000,0.0000
263,roll,Fairway,-405.5700,0.0213,-72.0000,0.0000,0.0000
264,roll,Fairway,-405.5714,0.0213,-72.0000,0.0000,0.0000
265,roll,Fairway,-405.5727,0.0213,-72.0000,0.0000,0.0000
266,roll,Fairway,-405.5740,0.0213,-72.0000,0.0000,0.0000
267,roll,Fairway,-405.5754,0.0213,-72.0000,0.0000,0.0000
268,roll,Fairway,-405.5767,0.0213,-72.0000,0.0000,0.0000
269,roll,Fairway,-405.5781,0.0213,-72.0000,0.0000,0.0000
270,roll,Fairway,-405.5794,0.0213,-72.0000,0.0000,0.0000
271,roll,Fairway,-405.5807,0.0213,-72.0000,0.0000,0.0000
272,roll,Fairway,-405.5821,0.0213,-72.0000,0.0000,0.0000
273,roll,Fairway,-405.5834,0.0213,-72.0000,0.0000,0.0000
274,roll,Fairway,-405.5848,0.0213,-72.0000,0.0000,0.0000
275,roll,Fairway,-405.5861,0.0213,-72.0000,0.0000,0.0000
276,roll,Fairway,-405.5875,0.0213,-72.0000,0.0000,0.0000
277,roll,Fairway,-405.5888,0.0213,-72.0000,0.0000,0.0000
278,roll,Fairway,-405.5901,0.0213,-72.0000,0.0000,0.0000
279,roll,Fairway,-405.5915,0.0213,-72.0000,0.0000,0.0000
280,roll,Fairway,-405.5928,0.0213,-72.0000,0.0000,0.0000
